Format,Target,LGB_default_R2,LGB_tuned_R2,XGB_default_R2,XGB_tuned_R2,Max_R2_gain,Best_tuned_model,Best_tuned_R2
Test,STR_DEV_form,0.1312,0.0783,0.1411,0.1488,0.0077,XGBoost,0.1488
T20,STR_DEV_form,0.7222,0.7255,0.7255,0.7184,0.0033,LightGBM,0.7255
ODI,STR_DEV_form,0.4016,0.4016,0.4033,0.3975,0.0,LightGBM,0.4016
T20,DOT_DEV_career,0.1547,0.1526,0.1622,0.1618,-0.0004,XGBoost,0.1618
ODI,DOT_DEV_form,0.2525,0.2515,0.2564,0.2199,-0.001,LightGBM,0.2515
ODI,STR_DEV_career,0.0485,0.044,0.0498,0.0486,-0.0012,XGBoost,0.0486
ODI,ECO_DEV_career,0.2957,0.2944,0.2963,0.2943,-0.0013,LightGBM,0.2944
T20,DOT_DEV_form,0.2794,0.2779,0.2824,0.246,-0.0015,LightGBM,0.2779
ODI,ECO_DEV_form,0.1843,0.172,0.1805,0.1759,-0.0046,XGBoost,0.1759
T20,ECO_DEV_form,0.2567,0.2496,0.257,0.2266,-0.0071,LightGBM,0.2496
ODI,DOT_DEV_career,0.0562,0.0273,0.0562,0.0491,-0.0071,XGBoost,0.0491
T20,STR_DEV_career,0.3138,0.3044,0.3124,0.2611,-0.0094,LightGBM,0.3044
Test,STR_DEV_career,0.0288,0.0182,0.0364,-0.0808,-0.0106,LightGBM,0.0182
Test,ECO_DEV_form,0.3623,0.3491,0.3627,0.3485,-0.0132,LightGBM,0.3491
T20,ECO_DEV_career,0.2988,0.2732,0.2959,0.276,-0.0199,XGBoost,0.276
Test,ECO_DEV_career,0.3843,0.3454,0.3907,0.3642,-0.0265,XGBoost,0.3642
Test,DOT_DEV_career,0.216,0.14,0.2178,0.1824,-0.0354,XGBoost,0.1824
Test,DOT_DEV_form,0.4843,0.4203,0.4913,0.4311,-0.0602,XGBoost,0.4311
