Format,Target,Train_rows,Val_rows,Test_rows,LGB_default_R2,XGB_default_R2,LGB_tuned_R2,XGB_tuned_R2,LGB_val_R2,XGB_val_R2,LGB_tuned_MAE,XGB_tuned_MAE,LGB_tuned_Uplift,XGB_tuned_Uplift,LGB_R2_gain,XGB_R2_gain,Best_tuned_model,Best_tuned_R2
T20,ECO_DEV_form,16041,2292,4584,0.2567,0.257,0.2496,0.2266,0.3092,0.3169,2.0545,2.09,74.49,74.05,-0.0071,-0.0304,LightGBM,0.2496
T20,ECO_DEV_career,16041,2292,4584,0.2988,0.2959,0.2732,0.276,0.3538,0.3534,1.9765,1.9777,69.34,69.32,-0.0256,-0.0199,XGBoost,0.276
T20,DOT_DEV_form,16041,2292,4584,0.2794,0.2824,0.2779,0.246,0.3404,0.3401,10.6374,10.8578,74.54,74.01,-0.0015,-0.0364,LightGBM,0.2779
T20,DOT_DEV_career,16041,2292,4584,0.1547,0.1622,0.1526,0.1618,0.2495,0.2454,11.122,11.0531,76.9,77.04,-0.0021,-0.0004,XGBoost,0.1618
T20,STR_DEV_form,16041,2292,4584,0.7222,0.7255,0.7255,0.7184,0.7412,0.7385,6.0879,6.1024,79.35,79.3,0.0033,-0.0071,LightGBM,0.7255
T20,STR_DEV_career,16041,2292,4584,0.3138,0.3124,0.3044,0.2611,0.364,0.3646,6.1608,6.3415,70.54,69.67,-0.0094,-0.0513,LightGBM,0.3044
ODI,ECO_DEV_form,13477,1925,3851,0.1843,0.1805,0.172,0.1759,0.2654,0.2703,1.3503,1.3431,75.95,76.08,-0.0123,-0.0046,XGBoost,0.1759
ODI,ECO_DEV_career,13477,1925,3851,0.2957,0.2963,0.2944,0.2943,0.4252,0.429,1.2531,1.2501,77.58,77.64,-0.0013,-0.002,LightGBM,0.2944
ODI,DOT_DEV_form,13477,1925,3851,0.2525,0.2564,0.2515,0.2199,0.3829,0.3857,9.0597,9.2297,78.17,77.76,-0.001,-0.0365,LightGBM,0.2515
ODI,DOT_DEV_career,13477,1925,3851,0.0562,0.0562,0.0273,0.0491,0.1042,0.103,9.4843,9.3784,82.68,82.87,-0.0289,-0.0071,XGBoost,0.0491
ODI,STR_DEV_form,13477,1925,3851,0.4016,0.4033,0.4016,0.3975,0.4753,0.4845,14.2114,14.2833,60.54,60.34,0.0,-0.0058,LightGBM,0.4016
ODI,STR_DEV_career,13477,1925,3851,0.0485,0.0498,0.044,0.0486,0.0676,0.0687,14.4477,14.4176,58.21,58.3,-0.0045,-0.0012,XGBoost,0.0486
Test,ECO_DEV_form,5442,778,1555,0.3623,0.3627,0.3491,0.3485,0.5282,0.5306,0.839,0.8343,78.85,78.97,-0.0132,-0.0142,LightGBM,0.3491
Test,ECO_DEV_career,5442,778,1555,0.3843,0.3907,0.3454,0.3642,0.5732,0.573,0.8139,0.7996,83.84,84.12,-0.0389,-0.0265,XGBoost,0.3642
Test,DOT_DEV_form,5442,778,1555,0.4843,0.4913,0.4203,0.4311,0.6883,0.6916,6.7299,6.624,84.27,84.52,-0.064,-0.0602,XGBoost,0.4311
Test,DOT_DEV_career,5442,778,1555,0.216,0.2178,0.14,0.1824,0.4865,0.4783,7.7814,7.5494,82.65,83.17,-0.076,-0.0354,XGBoost,0.1824
Test,STR_DEV_form,5442,778,1555,0.1312,0.1411,0.0783,0.1488,0.1506,0.1564,38.2328,36.0356,25.98,30.23,-0.0529,0.0077,XGBoost,0.1488
Test,STR_DEV_career,5442,778,1555,0.0288,0.0364,0.0182,-0.0808,0.0706,0.0749,36.7698,38.7381,21.54,17.34,-0.0106,-0.1172,LightGBM,0.0182
