Format,Target,Model,R2,MAE,RMSE,Naive_MAE,Naive_src,Uplift_pct,,,Sum of R2,Column Labels,,
T20,wicket_form,LightGBM,0.8449,0.9551,1.2796,8.916,last5_wicket_fmt,89.29,,,Row Labels,LightGBM,XGBoost,Grand Total
T20,wicket_form,XGBoost,0.8387,0.9722,1.305,8.916,last5_wicket_fmt,89.1,,,ODI,2.1215,2.1272,4.2487
Test,wicket_form,LightGBM,0.7765,3.0608,4.0545,25.7408,last5_wicket_fmt,88.11,,,economy_form,0.1843,0.1805,0.3648
Test,wicket_form,XGBoost,0.7722,3.109,4.0937,25.7408,last5_wicket_fmt,87.92,,,economy_career,0.2957,0.2963,0.592
T20,strkrt_form,Ridge,0.7377,6.0519,6.9474,29.4773,last5_strkrt_fmt,79.47,,,BPI_form,0.0956,0.0945,0.1901
T20,strkrt_form,XGBoost,0.7255,6.0703,7.107,29.4773,last5_strkrt_fmt,79.41,,,BPI_career,0.0693,0.0665,0.1358
T20,strkrt_form,LightGBM,0.7222,6.0925,7.1503,29.4773,last5_strkrt_fmt,79.33,,,wicket_form,0.6613,0.663,1.3243
ODI,wicket_form,XGBoost,0.663,1.6109,2.166,10.7505,last5_wicket_fmt,85.02,,,wicket_career,0.0565,0.0607,0.1172
ODI,wicket_form,LightGBM,0.6613,1.6099,2.1715,10.7505,last5_wicket_fmt,85.03,,,dot_form,0.2525,0.2564,0.5089
T20,wicket_form,Ridge,0.6464,1.4775,1.9322,8.916,last5_wicket_fmt,83.43,,,dot_career,0.0562,0.0562,0.1124
Test,wicket_form,Ridge,0.644,4.0171,5.1169,25.7408,last5_wicket_fmt,84.39,,,strkrt_form,0.4016,0.4033,0.8049
Test,dot_form,XGBoost,0.4913,6.2215,8.5111,42.7955,last5_dot_pct_fmt,85.46,,,strkrt_career,0.0485,0.0498,0.0983
Test,dot_form,LightGBM,0.4843,6.2538,8.569,42.7955,last5_dot_pct_fmt,85.39,,,T20,3.1995,3.2063,6.4058
Test,dot_form,Ridge,0.4761,6.263,8.6369,42.7955,last5_dot_pct_fmt,85.37,,,economy_form,0.2567,0.257,0.5137
ODI,wicket_form,Ridge,0.468,2.1187,2.7215,10.7505,last5_wicket_fmt,80.29,,,economy_career,0.2988,0.2959,0.5947
ODI,strkrt_form,Ridge,0.4039,14.094,16.474,36.0104,last5_strkrt_fmt,60.86,,,BPI_form,0.1383,0.1392,0.2775
ODI,strkrt_form,XGBoost,0.4033,14.1086,16.4834,36.0104,last5_strkrt_fmt,60.82,,,BPI_career,0.1142,0.1144,0.2286
ODI,strkrt_form,LightGBM,0.4016,14.1947,16.506,36.0104,last5_strkrt_fmt,60.58,,,wicket_form,0.8449,0.8387,1.6836
Test,economy_career,XGBoost,0.3907,0.7821,1.1657,5.0358,career_economy,84.47,,,wicket_career,0.0765,0.0786,0.1551
Test,economy_career,Ridge,0.3882,0.7787,1.1681,5.0358,career_economy,84.54,,,dot_form,0.2794,0.2824,0.5618
Test,economy_career,LightGBM,0.3843,0.7882,1.1718,5.0358,career_economy,84.35,,,dot_career,0.1547,0.1622,0.3169
Test,economy_form,XGBoost,0.3627,0.8272,1.2104,3.9673,last5_economy_fmt,79.15,,,strkrt_form,0.7222,0.7255,1.4477
Test,economy_form,LightGBM,0.3623,0.8258,1.2107,3.9673,last5_economy_fmt,79.19,,,strkrt_career,0.3138,0.3124,0.6262
Test,economy_form,Ridge,0.3186,0.8587,1.2516,3.9673,last5_economy_fmt,78.36,,,Test,2.5981,2.6456,5.2437
T20,strkrt_career,LightGBM,0.3138,6.1117,7.3924,20.9115,career_strkrt,70.77,,,economy_form,0.3623,0.3627,0.725
T20,strkrt_career,XGBoost,0.3124,6.1169,7.3996,20.9115,career_strkrt,70.75,,,economy_career,0.3843,0.3907,0.775
T20,economy_career,Ridge,0.3049,1.9239,2.5261,6.4459,career_economy,70.15,,,BPI_form,0.1278,0.1297,0.2575
ODI,economy_career,Ridge,0.3048,1.2524,1.611,5.5903,career_economy,77.6,,,BPI_career,0.0239,0.0378,0.0617
T20,economy_career,LightGBM,0.2988,1.9298,2.5371,6.4459,career_economy,70.06,,,wicket_form,0.7765,0.7722,1.5487
ODI,economy_career,XGBoost,0.2963,1.2501,1.6208,5.5903,career_economy,77.64,,,wicket_career,0.063,0.0659,0.1289
T20,economy_career,XGBoost,0.2959,1.931,2.5423,6.4459,career_economy,70.04,,,dot_form,0.4843,0.4913,0.9756
ODI,economy_career,LightGBM,0.2957,1.2516,1.6215,5.5903,career_economy,77.61,,,dot_career,0.216,0.2178,0.4338
T20,dot_form,XGBoost,0.2824,10.6081,13.4811,41.7754,last5_dot_pct_fmt,74.61,,,strkrt_form,0.1312,0.1411,0.2723
T20,dot_form,LightGBM,0.2794,10.6385,13.5097,41.7754,last5_dot_pct_fmt,74.53,,,strkrt_career,0.0288,0.0364,0.0652
T20,dot_form,Ridge,0.2727,10.7535,13.5719,41.7754,last5_dot_pct_fmt,74.26,,,Grand Total,7.9191,7.9791,15.8982
T20,economy_form,XGBoost,0.257,2.0349,2.6661,8.0539,last5_economy_fmt,74.73,,,,,,
T20,economy_form,LightGBM,0.2567,2.0362,2.6666,8.0539,last5_economy_fmt,74.72,,,,,,
ODI,dot_form,XGBoost,0.2564,9.0309,11.4037,41.5041,last5_dot_pct_fmt,78.24,,,,,,
ODI,dot_form,LightGBM,0.2525,9.058,11.4332,41.5041,last5_dot_pct_fmt,78.18,,,,,,
T20,economy_form,Ridge,0.2481,2.056,2.682,8.0539,last5_economy_fmt,74.47,,,,,,
ODI,dot_form,Ridge,0.2422,9.1563,11.5117,41.5041,last5_dot_pct_fmt,77.94,,,,,,
T20,strkrt_career,Ridge,0.2202,6.4826,7.8801,20.9115,career_strkrt,69,,,,,,
Test,dot_career,XGBoost,0.2178,7.3061,9.7434,44.851,career_dot_pct,83.71,,,,,,
Test,dot_career,LightGBM,0.216,7.3003,9.7544,44.851,career_dot_pct,83.72,,,,,,
ODI,economy_form,LightGBM,0.1843,1.3341,1.7194,5.6147,last5_economy_fmt,76.24,,,,,,
ODI,economy_form,XGBoost,0.1805,1.3356,1.7234,5.6147,last5_economy_fmt,76.21,,,,,,
T20,dot_career,XGBoost,0.1622,11.0656,14.0505,48.1487,career_dot_pct,77.02,,,,,,
Test,strkrt_form,Ridge,0.1572,34.8547,48.9667,51.652,last5_strkrt_fmt,32.52,,,,,,
T20,dot_career,LightGBM,0.1547,11.1169,14.113,48.1487,career_dot_pct,76.91,,,,,,
Test,strkrt_form,XGBoost,0.1411,36.1177,49.4328,51.652,last5_strkrt_fmt,30.08,,,,,,
T20,BPI_form,XGBoost,0.1392,13.6132,16.6644,45.2291,last5_BPI_fmt,69.9,,,,,,
T20,BPI_form,LightGBM,0.1383,13.6371,16.6733,45.2291,last5_BPI_fmt,69.85,,,,,,
ODI,economy_form,Ridge,0.1368,1.3848,1.7687,5.6147,last5_economy_fmt,75.34,,,,,,
T20,dot_career,Ridge,0.1318,11.2964,14.303,48.1487,career_dot_pct,76.54,,,,,,
Test,strkrt_form,LightGBM,0.1312,35.9805,49.717,51.652,last5_strkrt_fmt,30.34,,,,,,
Test,BPI_form,XGBoost,0.1297,11.9136,14.803,54.301,last5_BPI_fmt,78.06,,,,,,
Test,BPI_form,LightGBM,0.1278,11.917,14.8192,54.301,last5_BPI_fmt,78.05,,,,,,
Test,dot_career,Ridge,0.1268,7.7137,10.2941,44.851,career_dot_pct,82.8,,,,,,
T20,BPI_career,XGBoost,0.1144,13.3861,16.2726,45.9752,career_BPI,70.88,,,,,,
T20,BPI_career,LightGBM,0.1142,13.3844,16.2748,45.9752,career_BPI,70.89,,,,,,
Test,BPI_form,Ridge,0.1085,12.0283,14.982,54.301,last5_BPI_fmt,77.85,,,,,,
ODI,BPI_form,LightGBM,0.0956,15.257,18.6287,48.4468,last5_BPI_fmt,68.51,,,,,,
